#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Akkermansia muciniphila,Bacteria;PVC group;Verrucomicrobia,JCM 30893,SAMD00192834,PRJDB8988,GCA_009731575.1,Complete,2.87846,55.5886,chromosome:NZ_AP021898.1/AP021898.1; plasmid pJ30893:NZ_AP021899.1/AP021899.1,,2,2357,2019-11-28T23:33:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/731/575/GCA_009731575.1_ASM973157v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/731/575/GCF_009731575.1_ASM973157v1
Alcaligenes faecalis,Bacteria;Proteobacteria;Betaproteobacteria,ZD02,SAMN03379009,PRJNA276624,GCA_000967305.2,Complete,4.24868,56.807,chromosome:NZ_CP013119.1/CP013119.1; plasmid pZD02:NZ_CP013143.1/CP013143.1,,2,3773,2015-11-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/967/305/GCA_000967305.2_ASM96730v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/305/GCF_000967305.2_ASM96730v2
Alcanivorax borkumensis SK2,Bacteria;Proteobacteria;Gammaproteobacteria,SK2,SAMEA3138202,PRJNA13005,GCA_000009365.1,Complete,3.12014,54.7,chromosome:NC_008260.1/AM286690.1,,1,2750,2006-07-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/365/GCA_000009365.1_ASM936v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/365/GCF_000009365.1_ASM936v1
Algibacter alginicilyticus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,HZ22,SAMN04156175,PRJNA298144,GCA_001310225.1,Complete,3.99477,31.8,chromosome:NZ_CP012898.1/CP012898.1,,1,3287,2015-10-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/310/225/GCA_001310225.1_ASM131022v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/310/225/GCF_001310225.1_ASM131022v1
Algoriphagus sanaruensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,M8-2,SAMN04111281,PRJNA296932,GCA_001593605.1,Complete,3.88261,41.4,chromosome:NZ_CP012836.1/CP012836.1,,1,3292,2016-03-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/605/GCA_001593605.1_ASM159360v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/593/605/GCF_001593605.1_ASM159360v1
Aliarcobacter butzleri ED-1,Bacteria;Proteobacteria;delta/epsilon subdivisions,,SAMD00060980,PRJDA61719,GCA_000284355.1,Complete,2.25667,27.1,chromosome:NC_017187.1/AP012047.1,,1,2158,2011-09-02T23:07:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/355/GCA_000284355.1_ASM28435v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/355/GCF_000284355.1_ASM28435v1
Alicycliphilus denitrificans,Bacteria;Proteobacteria;Betaproteobacteria,DP3,SAMN14566246,PRJNA624042,GCA_012530715.1,Complete,4.77003,68.1434,chromosome:NZ_CP051298.1/CP051298.1; plasmid pDP3:NZ_CP051297.1/CP051297.1,,2,4338,2020-04-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/530/715/GCA_012530715.1_ASM1253071v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/530/715/GCF_012530715.1_ASM1253071v1
Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446,Bacteria;Terrabacteria group;Firmicutes,DSM 446,SAMN00001901,PRJNA29405,GCA_000024285.1,Complete,3.20569,61.8577,chromosome:NC_013205.1/CP001727.1; plasmid pAACI01:NC_013206.1/CP001728.1; plasmid pAACI02:NC_013207.1/CP001729.1; plasmid pAACI03:NC_013208.1/CP001730.1,,4,3021,2009-09-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/285/GCA_000024285.1_ASM2428v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/285/GCF_000024285.1_ASM2428v1
Aliivibrio salmonicida LFI1238,Bacteria;Proteobacteria;Gammaproteobacteria,LFI1238,SAMEA1705917,PRJEA30703,GCA_000196495.1,Complete,4.65566,38.9398,chromosome 1:NC_011312.1/FM178379.1; chromosome 2:NC_011313.1/FM178380.1; plasmid pVSAL43:NC_011316.1/FM178384.1; plasmid pVSAL54:NC_011315.1/FM178383.1; plasmid pVSAL320:NC_011314.1/FM178382.1; plasmid pVSAL840:NC_011311.1/FM178381.1,,6,3997,2008-10-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/495/GCA_000196495.1_ASM19649v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/495/GCF_000196495.1_ASM19649v1
Alistipes indistinctus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,2BBH45,SAMD00216626,PRJDB9565,GCA_014163495.1,Complete,3.09558,54.61,chromosome:NZ_AP023049.1/AP023049.1; plasmid p2BBH45:NZ_AP023050.1/AP023050.1,,2,2448,2020-08-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/163/495/GCA_014163495.1_ASM1416349v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/163/495/GCF_014163495.1_ASM1416349v1
Alkalicella caledoniensis,Bacteria;Terrabacteria group;Firmicutes,LB2,SAMN14689428,PRJNA626556,GCA_014467015.1,Complete,3.69537,36.2,chromosome:NZ_CP058559.1/CP058559.1,,1,3488,2020-09-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/467/015/GCA_014467015.1_ASM1446701v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/467/015/GCF_014467015.1_ASM1446701v1
Alkalihalobacillus halodurans C-125,Bacteria;Terrabacteria group;Firmicutes,C-125,SAMD00061093,PRJNA235,GCA_000011145.1,Complete,4.20235,43.7,chromosome:NC_002570.2/BA000004.3,,1,3954,2001-09-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/145/GCA_000011145.1_ASM1114v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/145/GCF_000011145.1_ASM1114v1
Alkalilimnicola ehrlichii MLHE-1,Bacteria;Proteobacteria;Gammaproteobacteria,MLHE-1,SAMN02598349,PRJNA15763,GCA_000014785.1,Complete,3.27594,67.5,chromosome:NC_008340.1/CP000453.1,,1,2867,2006-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/785/GCA_000014785.1_ASM1478v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/785/GCF_000014785.1_ASM1478v1
Alkaliphilus oremlandii OhILAs,Bacteria;Terrabacteria group;Firmicutes,OhILAs,SAMN00623039,PRJNA16083,GCA_000018325.1,Complete,3.12356,36.3,chromosome:NC_009922.1/CP000853.1,,1,2937,2007-10-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/325/GCA_000018325.1_ASM1832v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/325/GCF_000018325.1_ASM1832v1
Alkalitalea saponilacus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,SC/BZ-SP2,SAMN07200443,PRJNA389474,GCA_002201795.1,Complete,4.77557,39.3,chromosome:NZ_CP021904.1/CP021904.1,,1,3546,2017-06-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/201/795/GCA_002201795.1_ASM220179v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/201/795/GCF_002201795.1_ASM220179v1
Allochromatium vinosum DSM 180,Bacteria;Proteobacteria;Gammaproteobacteria,DSM 180,SAMN02598487,PRJNA32547,GCA_000025485.1,Complete,3.66907,64.2117,chromosome:NC_013851.1/CP001896.1; plasmid pALVIN01:NC_013852.1/CP001897.1; plasmid pALVIN02:NC_013862.1/CP001898.1,,3,3247,2010-02-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/485/GCA_000025485.1_ASM2548v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/485/GCF_000025485.1_ASM2548v1
Allocoleopsis franciscana PCC 7113,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,PCC 7113,SAMN02261351,PRJNA158839,GCA_000317515.1,Complete,7.96651,46.2006,chromosome:NC_019738.1/CP003630.1; plasmid pMIC7113.01:NC_019739.1/CP003631.1; plasmid pMIC7113.02:NC_019760.1/CP003632.1; plasmid pMIC7113.03:NC_019740.1/CP003633.1; plasmid pMIC7113.04:NC_019761.1/CP003634.1; plasmid pMIC7113.05:NC_019741.1/CP003635.1; plasmid pMIC7113.06:NC_019742.1/CP003636.1; plasmid pMIC7113.07:NC_019762.1/CP003637.1; plasmid pMIC7113.08:NC_019743.1/CP003638.1,,9,6504,2012-12-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/515/GCA_000317515.1_ASM31751v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/515/GCF_000317515.1_ASM31751v1
Allofrancisella guangzhouensis,Bacteria;Proteobacteria;Gammaproteobacteria,08HL01032,SAMN03273550,PRJNA271279,GCA_000815225.1,Complete,1.66153,31.994,chromosome:NZ_CP010427.1/CP010427.1; plasmid unnamed1:NZ_CP010428.1/CP010428.1,,2,1504,2015-01-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/815/225/GCA_000815225.1_ASM81522v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/225/GCF_000815225.1_ASM81522v1
Allosaccharopolyspora coralli,Bacteria;Terrabacteria group;Actinobacteria,E2A,SAMN13227472,PRJNA588104,GCA_009664835.1,Complete,4.83201,68.6,chromosome:NZ_CP045929.1/CP045929.1,,1,4410,2019-11-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/664/835/GCA_009664835.1_ASM966483v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/664/835/GCF_009664835.1_ASM966483v1
Alteracholeplasma palmae J233,Bacteria;Terrabacteria group;Tenericutes,J233,SAMEA4532332,PRJEB1742,GCA_000968055.1,Complete,1.55423,29,chromosome:NC_022538.1/FO681347.1,,1,1449,2013-10-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/055/GCA_000968055.1_ASM96805v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/055/GCF_000968055.1_ASM96805v1
Altererythrobacter epoxidivorans,Bacteria;Proteobacteria;Alphaproteobacteria,CGMCC 1.7731,SAMN03896005,PRJNA290561,GCA_001281485.1,Complete,2.78626,61.5,chromosome:NZ_CP012669.1/CP012669.1,,1,2724,2015-09-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/281/485/GCA_001281485.1_ASM128148v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/281/485/GCF_001281485.1_ASM128148v1
Alteromonas macleodii,Bacteria;Proteobacteria;Gammaproteobacteria,Te101,SAMN06093175,PRJNA355640,GCA_002849875.1,Complete,4.86739,44.5537,chromosome:NZ_CP018321.1/CP018321.1; plasmid pTE101a:NZ_CP018322.1/CP018322.1,,2,4084,2018-01-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/849/875/GCA_002849875.1_ASM284987v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/849/875/GCF_002849875.1_ASM284987v1
Alysiella filiformis,Bacteria;Proteobacteria;Betaproteobacteria,DSM 16848,SAMN15603186,PRJNA647881,GCA_014054525.1,Complete,2.43208,46.6,chromosome:NZ_CP059564.1/CP059564.1,,1,2238,2020-08-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/054/525/GCA_014054525.1_ASM1405452v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/054/525/GCF_014054525.1_ASM1405452v1
Amedibacterium intestinale,Bacteria;Terrabacteria group;Firmicutes,9CBEGH2,SAMD00172920,PRJDB8364,GCA_010537335.1,Complete,2.4881,33.9,chromosome:NZ_AP019711.1/AP019711.1,,1,2361,2020-01-27T23:03:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/537/335/GCA_010537335.1_ASM1053733v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/537/335/GCF_010537335.1_ASM1053733v1
Aminipila butyrica,Bacteria;Terrabacteria group;Firmicutes,DSM 103574,SAMN14052868,PRJNA605261,GCA_010669305.1,Complete,3.33485,44.9,chromosome:NZ_CP048649.1/CP048649.1,,1,3021,2020-02-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/669/305/GCA_010669305.1_ASM1066930v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/669/305/GCF_010669305.1_ASM1066930v1
Aminobacterium colombiense DSM 12261,Bacteria;Synergistetes;Synergistia,DSM 12261,SAMN02598488,PRJNA32587,GCA_000025885.1,Complete,1.98059,45.3,chromosome:NC_014011.1/CP001997.1,,1,1889,2010-04-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/885/GCA_000025885.1_ASM2588v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/885/GCF_000025885.1_ASM2588v1
Ammonifex degensii KC4,Bacteria;Terrabacteria group;Firmicutes,KC4,SAMN02598268,PRJNA12390,GCA_000024605.1,Complete,2.15707,59.4168,chromosome:NC_013385.1/CP001785.1; plasmid pADEG01:NC_013386.1/CP001786.1,,2,2129,2009-10-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/605/GCA_000024605.1_ASM2460v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/605/GCF_000024605.1_ASM2460v1
Amphibacillus xylanus NBRC 15112,Bacteria;Terrabacteria group;Firmicutes,NBRC 15112,SAMD00061112,PRJNA42371,GCA_000307165.1,Complete,2.56949,35.7,chromosome:NC_018704.1/AP012050.1,,1,2336,2012-10-01T23:06:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/165/GCA_000307165.1_ASM30716v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/165/GCF_000307165.1_ASM30716v1
Amycolatopsis mediterranei RB,Bacteria;Terrabacteria group;Actinobacteria,RB,SAMN02603407,PRJNA172643,GCA_000454025.1,Complete,10.2469,71.3,chromosome:NC_022116.1/CP003777.1,,1,9425,2013-08-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/454/025/GCA_000454025.1_ASM45402v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/454/025/GCF_000454025.1_ASM45402v1
Amylolactobacillus amylophilus DSM 20533 = JCM 1125,Bacteria;Terrabacteria group;Firmicutes,DSM 20533,SAMN06162176,PRJNA357931,GCA_001936335.1,Complete,1.61035,43.7,chromosome:NZ_CP018888.1/CP018888.1,,1,1565,2017-01-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/936/335/GCA_001936335.1_ASM193633v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/936/335/GCF_001936335.1_ASM193633v1
Anabaena cylindrica PCC 7122,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,PCC 7122,SAMN02232008,PRJNA43355,GCA_000317695.1,Complete,7.06328,38.7952,chromosome:NC_019771.1/CP003659.1; plasmid pANACY.01:NC_019772.1/CP003660.1; plasmid pANACY.02:NC_020157.1/CP003661.1; plasmid pANACY.03:NC_019773.1/CP003662.1; plasmid pANACY.04:NC_019774.1/CP003663.1; plasmid pANACY.05:NC_020056.1/CP003664.1; plasmid pANACY.06:NC_019775.1/CP003665.1,,7,5790,2012-12-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/695/GCA_000317695.1_ASM31769v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/695/GCF_000317695.1_ASM31769v1
Anaerobacillus isosaccharinicus,Bacteria;Terrabacteria group;Firmicutes,NB2006,SAMN04407006,PRJNA308645,GCA_001866075.3,Complete,5.22714,36.1,chromosome:NZ_CP063356.1/CP063356.1,,1,5059,2020-10-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/866/075/GCA_001866075.3_ASM186607v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/866/075/GCF_001866075.3_ASM186607v3
Anaerococcus vaginalis,Bacteria;Terrabacteria group;Firmicutes,FDAARGOS_988,SAMN16357157,PRJNA231221,GCA_016127475.1,Complete,1.89396,29,chromosome:NZ_CP066014.1/CP066014.1,,1,1697,2020-12-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/127/475/GCA_016127475.1_ASM1612747v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/127/475/GCF_016127475.1_ASM1612747v1
Anaerocolumna cellulosilytica,Bacteria;Terrabacteria group;Firmicutes,SN021,SAMD00229170,PRJDB9873,GCA_014218335.1,Complete,5.43063,36.7,chromosome:NZ_AP023367.1/AP023367.1,,1,4391,2020-08-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/218/335/GCA_014218335.1_ASM1421833v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/218/335/GCF_014218335.1_ASM1421833v1
Anaerohalosphaera lusitana,Bacteria;PVC group;Planctomycetes,ST-NAGAB-D1,SAMN06284947,PRJNA369385,GCA_002007645.1,Complete,4.25097,52,chromosome:NZ_CP019791.1/CP019791.1,,1,3391,2017-02-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/645/GCA_002007645.1_ASM200764v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/645/GCF_002007645.1_ASM200764v1
Anaerolinea thermophila UNI-1,Bacteria;Terrabacteria group;Chloroflexi,UNI-1,SAMD00061114,PRJNA60099,GCA_000199675.1,Complete,3.53238,53.8,chromosome:NC_014960.1/AP012029.1,,1,3134,2011-01-24T23:05:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/199/675/GCA_000199675.1_ASM19967v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/199/675/GCF_000199675.1_ASM19967v1
Anaeromyxobacter dehalogenans 2CP-1,Bacteria;Proteobacteria;delta/epsilon subdivisions,2CP-1,SAMN00000050,PRJNA20095,GCA_000022145.1,Complete,5.02933,74.7,chromosome:NC_011891.1/CP001359.1,,1,4464,2009-01-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/145/GCA_000022145.1_ASM2214v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/145/GCF_000022145.1_ASM2214v1
Anaerostipes caccae,Bacteria;Terrabacteria group;Firmicutes,NBRC 114412,SAMN21163588,PRJNA747117,GCA_020181435.1,Complete,3.28479,44.5,chromosome:NZ_CP084016.1/CP084016.1,,1,3207,2021-09-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/181/435/GCA_020181435.1_ASM2018143v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/181/435/GCF_020181435.1_ASM2018143v1
Anaerotignum propionicum DSM 1682,Bacteria;Terrabacteria group;Firmicutes,X2,SAMN04437875,PRJNA63245,GCA_001561955.1,Complete,3.12042,38.9,chromosome:NZ_CP014223.1/CP014223.1,,1,2860,2016-02-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/561/955/GCA_001561955.1_ASM156195v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/561/955/GCF_001561955.1_ASM156195v1
Anaplasma marginale str. Florida,Bacteria;Proteobacteria;Alphaproteobacteria,Florida,SAMN02604306,PRJNA16369,GCA_000020305.1,Complete,1.20243,49.8,chromosome:NC_012026.1/CP001079.1,,1,906,2009-02-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/305/GCA_000020305.1_ASM2030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/305/GCF_000020305.1_ASM2030v1
Anatilimnocola aggregata,Bacteria;PVC group;Planctomycetes,ETA_A8,SAMN10953900,PRJNA485700,GCA_007747655.1,Complete,9.00774,57.8,chromosome:NZ_CP036274.1/CP036274.1,,1,6802,2019-07-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/747/655/GCA_007747655.1_ASM774765v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/747/655/GCF_007747655.1_ASM774765v1
Ancylobacter pratisalsi,Bacteria;Proteobacteria;Alphaproteobacteria,DSM 102029,SAMN14048691,PRJNA605092,GCA_010669125.1,Complete,4.77827,65.9365,chromosome:NZ_CP048630.1/CP048630.1; plasmid pLGM:NZ_CP048631.1/CP048631.1,,2,4346,2020-02-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/669/125/GCA_010669125.1_ASM1066912v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/669/125/GCF_010669125.1_ASM1066912v1
Aneurinibacillus thermoaerophilus,Bacteria;Terrabacteria group;Firmicutes,CCM 8960,SAMN20669237,PRJNA753004,GCA_019603355.1,Complete,3.73191,44.7464,chromosome:NZ_CP080764.1/CP080764.1; plasmid pAT1:NZ_CP080765.1/CP080765.1,,2,3604,2021-08-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/603/355/GCA_019603355.1_ASM1960335v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/603/355/GCF_019603355.1_ASM1960335v1
Anoxybacillus gonensis,Bacteria;Terrabacteria group;Firmicutes,G2,SAMN03121471,PRJNA290998,GCA_001187595.1,Complete,2.80367,41.7,chromosome:NZ_CP012152.1/CP012152.1,,1,2810,2015-07-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/187/595/GCA_001187595.1_ASM118759v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/187/595/GCF_001187595.1_ASM118759v1
Anoxybacter fermentans,Bacteria;Terrabacteria group;Firmicutes,DY22613,SAMN05285382,PRJNA326585,GCA_003991135.1,Complete,3.55753,35.9,chromosome:NZ_CP016379.1/CP016379.1,,1,3152,2019-01-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/991/135/GCA_003991135.1_ASM399113v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/991/135/GCF_003991135.1_ASM399113v1
Antarcticibacterium flavum,Bacteria;FCB group;Bacteroidetes/Chlorobi group,KCTC 52984,SAMN11935687,PRJNA545845,GCA_006159205.1,Complete,4.35368,40.9,chromosome:NZ_CP040812.1/CP040812.1,,1,3655,2019-06-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/159/205/GCA_006159205.1_ASM615920v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/159/205/GCF_006159205.1_ASM615920v1
Anthocerotibacter panamensis C109,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,C109,SAMN16265294,PRJNA665722,GCA_018389385.1,Complete,4.1878,55.5,chromosome:NZ_CP062698.1/CP062698.1,,1,3911,2021-05-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/389/385/GCA_018389385.1_ASM1838938v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/389/385/GCF_018389385.1_ASM1838938v1
Apibacter raozihei,Bacteria;FCB group;Bacteroidetes/Chlorobi group,HY041,SAMN10691118,PRJNA512963,GCA_004014855.1,Complete,3.29305,32.2,chromosome:NZ_CP034930.1/CP034930.1,,1,2866,2019-01-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/014/855/GCA_004014855.1_ASM401485v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/014/855/GCF_004014855.1_ASM401485v1
Apilactobacillus kunkeei,Bacteria;Terrabacteria group;Firmicutes,DSMZ 12361,SAMN20557570,PRJNA751903,GCA_019575995.1,Complete,1.54222,36.6,chromosome:NZ_CP080568.1/CP080568.1,,1,1356,2021-08-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/575/995/GCA_019575995.1_ASM1957599v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/575/995/GCF_019575995.1_ASM1957599v1
Aquabacterium olei,Bacteria;Proteobacteria;Betaproteobacteria,NBRC 110486,SAMN09010100,PRJNA454549,GCA_003100395.1,Complete,4.25631,67.2656,chromosome:NZ_CP029210.1/CP029210.1; plasmid pTB101:NZ_CP029211.1/CP029211.1,,2,3718,2018-05-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/100/395/GCA_003100395.1_ASM310039v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/100/395/GCF_003100395.1_ASM310039v1
Aquella oligotrophica,Bacteria;Proteobacteria;Betaproteobacteria,DSM 100970,SAMN07987661,PRJNA417387,GCA_002892535.1,Complete,2.82066,36.4,chromosome:NZ_CP024847.1/CP024847.1,,1,2507,2018-01-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/892/535/GCA_002892535.1_ASM289253v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/892/535/GCF_002892535.1_ASM289253v1
Aquibium oceanicum,Bacteria;Proteobacteria;Alphaproteobacteria,B7,SAMN06054042,PRJNA354894,GCA_001889605.1,Complete,5.32456,65.0596,chromosome:NZ_CP018171.1/CP018171.1; plasmid unnamed1:NZ_CP018172.1/CP018172.1,,2,5077,2016-12-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/889/605/GCA_001889605.1_ASM188960v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/889/605/GCF_001889605.1_ASM188960v1
Aquicella siphonis,Bacteria;Aquificae;Aquificae,VF5,SAMN02603207,PRJNA215,GCA_000008625.1,Complete,1.59079,43.3239,chromosome:NC_000918.1/AE000657.1; plasmid ece1:NC_001880.1/AE000667.1,,2,1701,1997-07-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/625/GCA_000008625.1_ASM862v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/625/GCF_000008625.1_ASM862v1
